Position;Mean_Q1;Mean_Q2;Mean_Q3;Mean_Q4;Mean_MT1;Mean_MT2;Mean_Game;CV_Q1;CV_Q2;CV_Q3;CV_Q4;CV_MT1;CV_MT2;CV_Game;Max_Q1;Max_Q2;Max_Q3;Max_Q4;Max_MT1;Max_MT2;Max_Game;ApEn_Q1;ApEn_Q2;ApEn_Q3;ApEn_Q4;ApEn_MT1;ApEn_MT2;ApEn_Game;SampEn_Q1;SampEn_Q2;SampEn_Q3;SampEn_Q4;SampEn_MT1;SampEn_MT2;SampEn_Game;H2_Q1;H2_Q2;H2_Q3;H2_Q4;H2_MT1;H2_MT2;H2_Game;Frac_Max_Q1;Frac_Max_Q2;Frac_Max_Q3;Frac_Max_Q4;Frac_Max_MT1;Frac_Max_MT2;Frac_Max_Game;Frac_Peak_Q1;Frac_Peak_Q2;Frac_Peak_Q3;Frac_Peak_Q4;Frac_Peak_MT1;Frac_Peak_MT2;Frac_Peak_Game
DC;5.820705507;6.028929935;6.026252816;5.302760904;5.924817721;5.66450686;5.793542269;82.8224121;71.043097;65.6071059;74.4614458;76.981874;70.0421252;73.7717611;30.36;24.09;23.05;23.4;30.36;23.4;30.36;0.226662074;0.246644337;0.244791897;0.234403461;0.237115928;0.239902227;0.239332099;0.109585744;0.127718365;0.117362035;0.111970978;0.12051956;0.114658801;0.117659371;0.9984;0.9963;0.9136;1.0044;0.9342;0.901;0.8752;;4.94;1.6589;;12.0683;7.7494;12.1197;1.56;1.81;1.03;1.8;1.58;1.84;1.59
DC;6.624503743;5.945190127;5.983780293;5.887607111;6.284846935;5.935693702;6.104574609;64.024263;57.9378824;65.4504873;70.1366652;61.7092052;67.8019937;64.8414679;28.51;19.14;22.63;24.92;28.51;24.92;28.51;0.250147357;0.284947285;0.242121147;0.236677344;0.265367171;0.240370728;0.252682402;0.129797685;0.159005804;0.123634212;0.120110405;0.142109934;0.121883862;0.132134865;0.9974;0.9409;0.9745;1.0403;0.9173;0.9408;0.8892;1.6745;1.6887;4.2571;7.0133;1.506;7.2186;6.4932;1.07;1.05;1.68;2;0.99;2.16;2.04
DC;7.072870384;6.529692714;6.26607334;6.13900839;6.801281549;6.202540865;6.504060929;61.6251177;64.8798259;67.1537929;67.9090016;63.3187945;67.5348074;65.4822762;27.63;26.64;23.12;21.31;27.63;23.12;27.63;0.248417469;0.24178142;0.225601239;0.227833761;0.246275269;0.228036806;0.237292482;0.134775607;0.123655821;0.109429069;0.10751134;0.12912074;0.109004336;0.119156336;0.9701;1.013;0.9758;1.001;0.9208;0.9252;0.8792;1.5695;2.4553;2.8312;1.9202;2.1345;2.7921;2.3771;1.03;1.26;1.32;1.13;1.1;1.25;1.12
DC;6.630467357;5.715786232;4.94680838;5.56494048;6.173143364;5.25587443;5.70001842;53.2131952;71.7510298;74.2315995;66.5424992;62.4092167;70.4064049;66.7121108;25.46;23.6;22.63;23.6;25.46;23.6;25.46;0.320884751;0.281156454;0.291062457;0.336321974;0.299754894;0.315980268;0.308888697;0.187458891;0.140498846;0.151536197;0.180112822;0.161545598;0.165134833;0.163961695;0.8102;1.0709;0.8849;0.9118;0.8932;0.8344;0.8362;1.3859;1.7704;;;1.6786;9.6888;9.3284;0.9;1.16;;2.11;0.99;1.37;1.51
DL;6.734251537;6.271231761;6.228605412;5.020540521;6.502741649;5.624572967;6.059709142;62.9160795;63.3139514;64.8068103;68.162031;63.2402846;67.3889018;65.6376345;23.96;22.64;26.25;17.57;23.96;26.25;26.25;0.262060883;0.254681752;0.273774111;0.303704562;0.258777637;0.287706543;0.272776993;0.141770591;0.128028053;0.133607421;0.161753733;0.135434021;0.145765407;0.139029944;1.0145;1.0712;1.1059;0.9504;0.962;0.9991;0.9255;1.7382;1.9671;2.121;2.4444;1.9375;2.8337;2.9543;1.09;1.18;1.24;1.22;1.08;1.35;1.31
DL;5.672879501;6.372641838;6.037436594;5.267957616;6.02276067;5.652709844;5.829415947;73.2670678;74.0368973;65.6999502;77.9217543;74.0486994;71.7276879;73.0236805;26.43;28.6;23.59;27.82;28.6;27.82;28.6;0.242602627;0.219030196;0.25537329;0.226814112;0.230268543;0.241484606;0.236863013;0.116864833;0.100174576;0.123718579;0.104615448;0.107743157;0.113810026;0.111271708;1.0157;1.002;0.959;1.0224;0.9279;0.9269;0.8952;1.7021;1.706;2.1237;1.8715;1.6904;2.0745;1.9463;1.2;1.12;1.13;1.18;1.08;1.11;1.04
DL;6.847360763;6.47738155;6.048100127;4.851816546;6.662371156;5.449958336;6.034179504;67.21159;66.1488786;72.1004817;90.8151569;66.7940836;81.1759575;74.2063204;29.12;25.81;27.65;28.27;29.12;28.27;29.12;0.238315519;0.244711196;0.225854831;0.194915745;0.241575865;0.210249292;0.226007849;0.116881941;0.120433513;0.102100566;0.084311761;0.119044865;0.092768483;0.104462642;0.9248;0.9087;0.9297;0.9734;0.8671;0.8861;0.8427;1.7474;2.198;5.004;4.1427;2.3417;5.3489;5.1194;1.06;1.14;1.8;1.58;1.14;1.83;1.71
DL;6.703864899;6.542524257;6.098545031;5.545312091;6.623194578;5.821928561;6.218959151;62.7222955;65.3216756;67.144656;72.8861678;64.0186696;70.0405764;67.184423;26.75;27.26;27.06;27.07;27.26;27.07;27.26;0.257573631;0.223763695;0.23955208;0.229945697;0.243311708;0.236026263;0.239585637;0.134651619;0.102464665;0.119266935;0.104562305;0.118132403;0.112340942;0.114785449;0.9541;1.079;0.8908;1.0142;0.9455;0.8949;0.8833;1.7437;2.176;1.8986;3.7717;2.0052;3.5168;3.3312;1.08;1.21;1.04;1.58;1.07;1.44;1.36
DL;6.98773028;6.850127128;5.978532098;5.663093794;6.918928704;5.820812946;6.339959405;66.0916226;74.465663;70.8160059;83.5917318;70.3292937;77.1967669;74.2168661;26.95;29.09;26.5;24.92;29.09;26.5;29.09;0.249521046;0.213236813;0.225235129;0.202729392;0.232254544;0.215558799;0.222128293;0.118354713;0.101077922;0.101528127;0.088536545;0.110248621;0.096837532;0.101937606;0.9708;1.0808;0.8785;0.9961;0.9497;0.875;0.8931;1.7361;2.3854;4.5973;2.0414;2.574;4.4137;4.3622;1.1;1.34;1.6;1.17;1.26;1.54;1.55
DL;7.444941485;6.351493829;6.012881113;6.231962799;6.898237046;6.122421956;6.493516599;60.8214314;68.9585858;69.9153391;70.8591063;65.059765;70.4385328;67.9807193;31.38;26.51;27.86;27.97;31.38;27.97;31.38;0.252824929;0.224623834;0.232711495;0.227286422;0.239108011;0.231322338;0.234867171;0.12678061;0.100017676;0.111423993;0.101005272;0.112545459;0.106532461;0.109213227;0.9153;1.021;1.0272;0.9625;0.9159;0.9137;0.8795;1.4902;2.1662;1.8476;2.4165;2.3242;2.2362;2.6749;1.07;1.17;1.16;1.24;1.16;1.14;1.21
